location,room,area,floor,price
Gənclik m.,3 otaqlı,160.0,8,329000
Gənclik m.,4 otaqlı,170.0,8,325000
Gənclik m.,2 otaqlı,50.0,3,171500
Nəriman Nərimanov m.,3 otaqlı,140.0,6,480000
Gənclik m.,3 otaqlı,91.0,5,278000
Gənclik m.,3 otaqlı,140.0,6,480000
Gənclik m.,3 otaqlı,114.0,4,248000
Gənclik m.,4 otaqlı,155.0,9,410000
Gənclik m.,2 otaqlı,55.0,4,215000
Gənclik m.,3 otaqlı,160.0,11,630000
Gənclik m.,3 otaqlı,130.0,13,450000
Nəriman Nərimanov m.,3 otaqlı,118.0,4,358000
Gənclik m.,3 otaqlı,75.0,6,215000
Gənclik m.,3 otaqlı,85.0,6,208000
Gənclik m.,3 otaqlı,140.0,6,480000
Gənclik m.,3 otaqlı,90.0,4,220000
Nəriman Nərimanov m.,3 otaqlı,87.0,1,198000
Nəriman Nərimanov m.,2 otaqlı,42.0,5,135000
Gənclik m.,3 otaqlı,115.0,2,297000
Gənclik m.,3 otaqlı,85.0,4,215000
Gənclik m.,7 otaqlı,400.0,11,1800000
Gənclik m.,7 otaqlı,270.0,16,945000
Gənclik m.,3 otaqlı,125.0,6,425000
Gənclik m.,2 otaqlı,70.0,16,220000
Gənclik m.,7 otaqlı,270.0,16,945000
Gənclik m.,3 otaqlı,70.0,2,170000
Gənclik m.,3 otaqlı,80.0,6,215000
Gənclik m.,4 otaqlı,100.0,6,255000
Gənclik m.,2 otaqlı,78.2,12,365976
Gənclik m.,3 otaqlı,114.7,14,330000
Gənclik m.,3 otaqlı,135.0,14,445000
Gənclik m.,2 otaqlı,59.0,7,170000
Gənclik m.,3 otaqlı,140.0,6,479000
Gənclik m.,2 otaqlı,64.0,14,205000
Gənclik m.,4 otaqlı,232.0,9,440000
Nəriman Nərimanov m.,2 otaqlı,58.0,11,179000
Gənclik m.,4 otaqlı,178.0,15,489500
Gənclik m.,3 otaqlı,80.0,18,129000
Gənclik m.,4 otaqlı,115.0,6,255000
Gənclik m.,5 otaqlı,290.0,7,780000
Gənclik m.,3 otaqlı,138.0,14,350000
Gənclik m.,3 otaqlı,115.0,7,315000
Gənclik m.,4 otaqlı,210.0,7,790000
Gənclik m.,2 otaqlı,96.0,6,275000
Nəriman Nərimanov m.,3 otaqlı,95.0,4,255000
Gənclik m.,4 otaqlı,208.0,7,790000
Gənclik m.,3 otaqlı,115.0,17,285000
Gənclik m.,2 otaqlı,52.0,4,135000
Gənclik m.,2 otaqlı,60.0,17,190000
Gənclik m.,7 otaqlı,400.0,11,1800000
Gənclik m.,3 otaqlı,145.0,13,379000
Nəriman Nərimanov m.,3 otaqlı,95.0,8,260000
Nəriman Nərimanov m.,3 otaqlı,93.0,11,240000
Gənclik m.,4 otaqlı,170.0,9,450000
Gənclik m.,3 otaqlı,115.0,2,297000
Gənclik m.,2 otaqlı,105.0,8,265000
Gənclik m.,2 otaqlı,60.0,18,190000
Gənclik m.,3 otaqlı,143.9,15,707000
Gənclik m.,4 otaqlı,166.3,15,808000
Gənclik m.,2 otaqlı,75.5,18,198000
Gənclik m.,3 otaqlı,165.0,8,500000
Gənclik m.,3 otaqlı,75.0,6,169000
Gənclik m.,3 otaqlı,110.0,7,320000
Gənclik m.,2 otaqlı,33.3,4,117000
Gənclik m.,4 otaqlı,120.0,7,260000
Gənclik m.,5 otaqlı,400.0,4,1800000
Gənclik m.,2 otaqlı,91.0,7,236000
Gənclik m.,2 otaqlı,60.0,6,205000
Gənclik m.,4 otaqlı,84.0,7,260000
Nəriman Nərimanov m.,2 otaqlı,60.0,7,199000
Gənclik m.,2 otaqlı,60.0,8,165000
Gənclik m.,2 otaqlı,65.0,1,160000
Gənclik m.,3 otaqlı,139.5,6,490000
Gənclik m.,3 otaqlı,107.0,14,247000
Gənclik m.,4 otaqlı,166.3,15,808000
Gənclik m.,3 otaqlı,138.0,14,350000
Gənclik m.,3 otaqlı,90.0,4,220000
Gənclik m.,2 otaqlı,52.0,4,135000
Gənclik m.,3 otaqlı,85.0,6,229000
Gənclik m.,3 otaqlı,85.0,9,187000
Gənclik m.,2 otaqlı,50.0,4,135000
Gənclik m.,4 otaqlı,136.0,13,319000
Gənclik m.,3 otaqlı,140.0,6,480000
Gənclik m.,2 otaqlı,45.0,4,135000
Gənclik m.,2 otaqlı,35.0,5,125000
Gənclik m.,4 otaqlı,220.0,11,704000
Gənclik m.,2 otaqlı,78.0,11,366600
Gənclik m.,2 otaqlı,60.0,7,165000
Gənclik m.,3 otaqlı,92.0,8,249000
Gənclik m.,3 otaqlı,65.0,4,165000
Gənclik m.,3 otaqlı,140.0,13,379000
Gənclik m.,3 otaqlı,190.0,5,370000
Gənclik m.,2 otaqlı,75.0,4,173000
Gənclik m.,5 otaqlı,265.0,4,690000
Gənclik m.,5 otaqlı,300.0,7,780000
Gənclik m.,2 otaqlı,80.0,2,257000
Gənclik m.,3 otaqlı,75.0,3,225000
Gənclik m.,2 otaqlı,47.0,9,138000
Gənclik m.,2 otaqlı,66.0,6,210000
Gənclik m.,4 otaqlı,205.0,15,350000
Gənclik m.,2 otaqlı,90.0,16,267000
Gənclik m.,3 otaqlı,165.0,13,385000
Gənclik m.,2 otaqlı,60.0,8,165000
Gənclik m.,3 otaqlı,90.0,7,295000
Gənclik m.,3 otaqlı,140.0,14,379000
Nəriman Nərimanov m.,2 otaqlı,58.0,11,179000
Gənclik m.,3 otaqlı,85.0,6,172000
Gənclik m.,2 otaqlı,50.0,1,139000
Gənclik m.,2 otaqlı,45.0,3,172000
Gənclik m.,1 otaqlı,50.0,9,105000
Gənclik m.,3 otaqlı,180.0,6,370000
Gənclik m.,2 otaqlı,90.4,6,237000
Gənclik m.,3 otaqlı,140.0,6,480000
Gənclik m.,3 otaqlı,115.0,6,310000
Gənclik m.,2 otaqlı,65.0,1,160000
